epoch,step,train_loss_epoch,train_loss_step,val/mse,val_loss
0,49,,0.4180752635002136,,
0,99,,0.26711305975914,,
0,109,,,0.34080541133880615,0.34080541133880615
0,109,0.5029001832008362,,,
1,149,,0.4500496983528137,,
1,199,,0.35882458090782166,,
1,219,,,0.29612240195274353,0.29612240195274353
1,219,0.27251166105270386,,,
2,249,,0.1746331751346588,,
2,299,,0.2089003026485443,,
2,329,,,0.36630621552467346,0.36630621552467346
2,329,0.2397814840078354,,,
3,349,,0.25191324949264526,,
3,399,,0.14497371017932892,,
3,439,,,0.2814231812953949,0.2814231812953949
3,439,0.2041434347629547,,,
4,449,,0.1057489812374115,,
4,499,,0.265240341424942,,
4,549,,0.10847695171833038,,
4,549,,,0.29653093218803406,0.29653093218803406
4,549,0.18914128839969635,,,
5,599,,0.3164074718952179,,
5,649,,0.16553455591201782,,
5,659,,,0.27572596073150635,0.27572596073150635
5,659,0.1737072914838791,,,
6,699,,0.09715943038463593,,
6,749,,0.09270541369915009,,
6,769,,,0.28370875120162964,0.28370875120162964
6,769,0.15875430405139923,,,
7,799,,0.22789178788661957,,
7,849,,0.14891937375068665,,
7,879,,,0.2824974060058594,0.2824974060058594
7,879,0.14930883049964905,,,
8,899,,0.12019585072994232,,
8,949,,0.25505295395851135,,
8,989,,,0.3072291314601898,0.3072291314601898
8,989,0.14057080447673798,,,
9,999,,0.2605404257774353,,
9,1049,,0.1504051238298416,,
9,1099,,0.2549155652523041,,
9,1099,,,0.2488817572593689,0.2488817572593689
9,1099,0.13106435537338257,,,
10,1149,,0.13276678323745728,,
10,1199,,0.05432940274477005,,
10,1209,,,0.2522016763687134,0.2522016763687134
10,1209,0.12402015179395676,,,
11,1249,,0.11323466151952744,,
11,1299,,0.077784962952137,,
11,1319,,,0.23001934587955475,0.23001934587955475
11,1319,0.11479452252388,,,
12,1349,,0.1794128566980362,,
12,1399,,0.09738195687532425,,
12,1429,,,0.2529655992984772,0.2529655992984772
12,1429,0.10710138082504272,,,
13,1449,,0.07311307638883591,,
13,1499,,0.061135433614254,,
13,1539,,,0.23472288250923157,0.23472288250923157
13,1539,0.1038254052400589,,,
14,1549,,0.13016152381896973,,
14,1599,,0.05015544593334198,,
14,1649,,0.06735654175281525,,
14,1649,,,0.24446561932563782,0.24446561932563782
14,1649,0.09673537313938141,,,
15,1699,,0.08384186029434204,,
15,1749,,0.07002730667591095,,
15,1759,,,0.24909482896327972,0.24909482896327972
15,1759,0.09479459375143051,,,
16,1799,,0.10722659528255463,,
16,1849,,0.08219586312770844,,
16,1869,,,0.2667134702205658,0.2667134702205658
16,1869,0.09164349734783173,,,
17,1899,,0.04078732430934906,,
17,1949,,0.07639992982149124,,
17,1979,,,0.23222874104976654,0.23222874104976654
17,1979,0.08395584672689438,,,
18,1999,,0.09077364206314087,,
18,2049,,0.08298793435096741,,
18,2089,,,0.23228727281093597,0.23228727281093597
18,2089,0.0798027291893959,,,
19,2099,,0.08002879470586777,,
19,2149,,0.09627960622310638,,
19,2199,,0.021225441247224808,,
19,2199,,,0.22052420675754547,0.22052420675754547
19,2199,0.07939208298921585,,,
20,2249,,0.06507205218076706,,
20,2299,,0.11493004858493805,,
20,2309,,,0.229658842086792,0.229658842086792
20,2309,0.07359204441308975,,,
21,2349,,0.11748488247394562,,
21,2399,,0.06262721866369247,,
21,2419,,,0.22704464197158813,0.22704464197158813
21,2419,0.07078863680362701,,,
22,2449,,0.0861000195145607,,
22,2499,,0.048836030066013336,,
22,2529,,,0.22944329679012299,0.22944329679012299
22,2529,0.0692209005355835,,,
23,2549,,0.09054163843393326,,
23,2599,,0.05299370735883713,,
23,2639,,,0.2218388319015503,0.2218388319015503
23,2639,0.0650106742978096,,,
24,2649,,0.11132701486349106,,
24,2699,,0.10661949962377548,,
24,2749,,0.13384655117988586,,
24,2749,,,0.2290249764919281,0.2290249764919281
24,2749,0.061794016510248184,,,
25,2799,,0.11683189868927002,,
25,2849,,0.0445718988776207,,
25,2859,,,0.22989118099212646,0.22989118099212646
25,2859,0.060741864144802094,,,
26,2899,,0.021133622154593468,,
26,2949,,0.06715451925992966,,
26,2969,,,0.21551722288131714,0.21551722288131714
26,2969,0.056971292942762375,,,
27,2999,,0.09096149355173111,,
27,3049,,0.04729682207107544,,
27,3079,,,0.2253582626581192,0.2253582626581192
27,3079,0.057401154190301895,,,
28,3099,,0.04775971174240112,,
28,3149,,0.05251932889223099,,
28,3189,,,0.23060116171836853,0.23060116171836853
28,3189,0.05381717160344124,,,
29,3199,,0.07140355557203293,,
29,3249,,0.1094171404838562,,
29,3299,,0.07585346698760986,,
29,3299,,,0.22388795018196106,0.22388795018196106
29,3299,0.052434295415878296,,,
30,3349,,0.03879978880286217,,
30,3399,,0.026637928560376167,,
30,3409,,,0.2233256697654724,0.2233256697654724
30,3409,0.05108225718140602,,,
31,3449,,0.04177292808890343,,
31,3499,,0.040097594261169434,,
31,3519,,,0.22550320625305176,0.22550320625305176
31,3519,0.04976072907447815,,,
32,3549,,0.0327262245118618,,
32,3599,,0.041001029312610626,,
32,3629,,,0.22261811792850494,0.22261811792850494
32,3629,0.04892883077263832,,,
33,3649,,0.024208320304751396,,
33,3699,,0.08617255091667175,,
33,3739,,,0.22445745766162872,0.22445745766162872
33,3739,0.04698796570301056,,,
34,3749,,0.01936853677034378,,
34,3799,,0.046487417072057724,,
34,3849,,0.01764032244682312,,
34,3849,,,0.21608543395996094,0.21608543395996094
34,3849,0.045465920120477676,,,
35,3899,,0.12474046647548676,,
35,3949,,0.06720105558633804,,
35,3959,,,0.22639892995357513,0.22639892995357513
