epoch,step,train_loss_epoch,train_loss_step,val/mse,val_loss
0,49,,0.23804828524589539,,
0,99,,0.1592085361480713,,
0,109,,,0.361730694770813,0.361730694770813
0,109,0.28849124908447266,,,
1,149,,0.19044390320777893,,
1,199,,0.1598418802022934,,
1,219,,,0.28497907519340515,0.28497907519340515
1,219,0.13918286561965942,,,
2,249,,0.09029655158519745,,
2,299,,0.09425362944602966,,
2,329,,,0.28759101033210754,0.28759101033210754
2,329,0.12409384548664093,,,
3,349,,0.07777603715658188,,
3,399,,0.09353381395339966,,
3,439,,,0.24712909758090973,0.24712909758090973
3,439,0.10480375587940216,,,
4,449,,0.058196328580379486,,
4,499,,0.10471510142087936,,
4,549,,0.0800093412399292,,
4,549,,,0.2673535645008087,0.2673535645008087
4,549,0.09553133696317673,,,
5,599,,0.10197605192661285,,
5,649,,0.13704721629619598,,
5,659,,,0.26473039388656616,0.26473039388656616
5,659,0.08802370727062225,,,
6,699,,0.055467426776885986,,
6,749,,0.06824301183223724,,
6,769,,,0.2610284090042114,0.2610284090042114
6,769,0.08386373519897461,,,
7,799,,0.0946541354060173,,
7,849,,0.06815153360366821,,
7,879,,,0.2546229064464569,0.2546229064464569
7,879,0.07834696024656296,,,
8,899,,0.03649352863430977,,
8,949,,0.07679714262485504,,
8,989,,,0.2628259062767029,0.2628259062767029
8,989,0.0729570984840393,,,
9,999,,0.09425141662359238,,
9,1049,,0.06276728212833405,,
9,1099,,0.04095088690519333,,
9,1099,,,0.2303219884634018,0.2303219884634018
9,1099,0.06801334768533707,,,
10,1149,,0.050726573914289474,,
10,1199,,0.027931183576583862,,
10,1209,,,0.23343156278133392,0.23343156278133392
10,1209,0.0642659068107605,,,
11,1249,,0.05301644653081894,,
11,1299,,0.04465356469154358,,
11,1319,,,0.22954411804676056,0.22954411804676056
11,1319,0.06072339415550232,,,
12,1349,,0.07543909549713135,,
12,1399,,0.056630052626132965,,
12,1429,,,0.2354842573404312,0.2354842573404312
12,1429,0.05664682760834694,,,
13,1449,,0.030715862289071083,,
13,1499,,0.03192521631717682,,
13,1539,,,0.22329391539096832,0.22329391539096832
13,1539,0.055119581520557404,,,
14,1549,,0.041976191103458405,,
14,1599,,0.03304538503289223,,
14,1649,,0.04646482691168785,,
14,1649,,,0.2221781611442566,0.2221781611442566
14,1649,0.051588285714387894,,,
15,1699,,0.054001472890377045,,
15,1749,,0.03315353021025658,,
15,1759,,,0.22655199468135834,0.22655199468135834
15,1759,0.04868485406041145,,,
16,1799,,0.027452776208519936,,
16,1849,,0.033419691026210785,,
16,1869,,,0.23916473984718323,0.23916473984718323
16,1869,0.04787372052669525,,,
17,1899,,0.0245911106467247,,
17,1949,,0.04570930451154709,,
17,1979,,,0.21501415967941284,0.21501415967941284
17,1979,0.04465712606906891,,,
18,1999,,0.029092134907841682,,
18,2049,,0.04945668950676918,,
18,2089,,,0.21814784407615662,0.21814784407615662
18,2089,0.04240529239177704,,,
19,2099,,0.04626651480793953,,
19,2149,,0.02761811763048172,,
19,2199,,0.014338875189423561,,
19,2199,,,0.20468831062316895,0.20468831062316895
19,2199,0.04138411581516266,,,
20,2249,,0.044390447437763214,,
20,2299,,0.03854173794388771,,
20,2309,,,0.20272645354270935,0.20272645354270935
20,2309,0.03938573971390724,,,
21,2349,,0.0505305714905262,,
21,2399,,0.029749443754553795,,
21,2419,,,0.20251819491386414,0.20251819491386414
21,2419,0.03774375095963478,,,
22,2449,,0.04686279594898224,,
22,2499,,0.030093751847743988,,
22,2529,,,0.2097630500793457,0.2097630500793457
22,2529,0.0348258800804615,,,
23,2549,,0.02994420751929283,,
23,2599,,0.018304917961359024,,
23,2639,,,0.2025543600320816,0.2025543600320816
23,2639,0.03421398997306824,,,
24,2649,,0.026552878320217133,,
24,2699,,0.0196245014667511,,
24,2749,,0.04764876514673233,,
24,2749,,,0.2107478231191635,0.2107478231191635
24,2749,0.03290813788771629,,,
25,2799,,0.04153844714164734,,
25,2849,,0.03748972713947296,,
25,2859,,,0.2014218270778656,0.2014218270778656
25,2859,0.031183533370494843,,,
26,2899,,0.01833983138203621,,
26,2949,,0.029281238093972206,,
26,2969,,,0.21133233606815338,0.21133233606815338
26,2969,0.0298418290913105,,,
27,2999,,0.04385079815983772,,
27,3049,,0.02277626283466816,,
27,3079,,,0.21526291966438293,0.21526291966438293
27,3079,0.029687242582440376,,,
28,3099,,0.03753980994224548,,
28,3149,,0.022026007995009422,,
28,3189,,,0.22807395458221436,0.22807395458221436
28,3189,0.028322607278823853,,,
29,3199,,0.048572808504104614,,
29,3249,,0.03847963362932205,,
29,3299,,0.05149030685424805,,
29,3299,,,0.20522384345531464,0.20522384345531464
29,3299,0.027412038296461105,,,
30,3349,,0.02626768872141838,,
30,3399,,0.021448351442813873,,
30,3409,,,0.21247078478336334,0.21247078478336334
30,3409,0.026862069964408875,,,
31,3449,,0.02260403335094452,,
31,3499,,0.026019223034381866,,
31,3519,,,0.20944859087467194,0.20944859087467194
31,3519,0.025601916015148163,,,
32,3549,,0.02505842223763466,,
32,3599,,0.033003974705934525,,
32,3629,,,0.19573336839675903,0.19573336839675903
32,3629,0.025594057515263557,,,
33,3649,,0.011373442597687244,,
33,3699,,0.02252027951180935,,
33,3739,,,0.20753079652786255,0.20753079652786255
