seed,condition,K5,Caco2_Wang_K5,VDss_Lombardo_K5,K10,Caco2_Wang_K10,VDss_Lombardo_K10,K20,Caco2_Wang_K20,VDss_Lombardo_K20,K50,Caco2_Wang_K50,VDss_Lombardo_K50
0,maml_mlp,13.83309805393219,0.9882252216339111,26.67797088623047,13.762132197618484,0.9438524842262268,26.580411911010742,13.745250016450882,0.9323335289955139,26.55816650390625,13.723150730133057,0.9326601028442383,26.513641357421875
0,maml_static_gnn,14.21175566315651,0.9733064770698547,27.450204849243164,14.456604450941086,0.9538640379905701,27.9593448638916,14.250139117240906,0.9476373195648193,27.552640914916992,14.198944687843323,0.941605806350708,27.456283569335938
0,maml_dense_gsl,13.476332813501358,0.9480269551277161,26.004638671875,13.475415647029877,0.9278305768966675,26.023000717163086,13.575509876012802,0.9279648661613464,26.223054885864258,13.562611728906631,0.9290907979011536,26.19613265991211
0,maml_hopfield_nogating,12.813131988048553,0.9145921468734741,24.711671829223633,12.829518616199493,0.905892014503479,24.753145217895508,12.839452356100082,0.8870956301689148,24.79180908203125,12.865076094865799,0.9101772904396057,24.819974899291992
0,maml_hopfield_evid,12.025630682706833,0.8775171637535095,23.173744201660156,12.13176679611206,0.8668851852416992,23.396648406982422,12.090162456035614,0.8684619665145874,23.31186294555664,12.022425919771194,0.8517919182777405,23.19305992126465
1,maml_mlp,14.367021948099136,0.9432266354560852,27.790817260742188,14.254040151834488,0.9442165493965149,27.56386375427246,14.266012579202652,0.9410999417304993,27.590925216674805,14.467675417661667,0.9401230216026306,27.995227813720703
1,maml_static_gnn,14.229543894529343,0.9489559531211853,27.5101318359375,14.28711622953415,0.9568790197372437,27.617353439331055,14.273806065320969,0.9657391905784607,27.581872940063477,14.41805613040924,0.9791996479034424,27.85691261291504
1,maml_dense_gsl,14.72410050034523,0.9340408444404602,28.51416015625,14.506752401590347,0.9432781338691711,28.070226669311523,14.875316351652145,0.9498686194419861,28.800764083862305,14.42000725865364,0.9618673920631409,27.87814712524414
1,maml_hopfield_nogating,13.024469912052155,1.0457812547683716,25.003158569335938,13.041835010051727,1.082933783531189,25.000736236572266,12.963593482971191,1.1068840026855469,24.820302963256836,13.040372431278229,1.1565600633621216,24.924184799194336
1,maml_hopfield_evid,13.596126705408096,0.8846419453620911,26.3076114654541,13.396929740905762,0.8787174224853516,25.915142059326172,13.365935653448105,0.8834444880485535,25.848426818847656,13.00115790963173,0.8823397755622864,25.119976043701172
