held_out,condition,seed,K10,K20,K50,task_std
Caco2_Wang,maml_mlp,0,0.792889,0.794070,0.789882,0.776809
Caco2_Wang,maml_mlp,1,0.857125,0.860462,0.871085,0.776809
Caco2_Wang,maml_mlp,2,0.812171,0.816180,0.815521,0.776809
Caco2_Wang,maml_mlp,3,0.830453,0.819430,0.823229,0.776809
Caco2_Wang,maml_mlp,4,0.829709,0.826175,0.828698,0.776809
Caco2_Wang,maml_static_gnn,0,0.837263,0.814311,0.793825,0.776809
Caco2_Wang,maml_static_gnn,1,0.858237,0.856653,0.858008,0.776809
Caco2_Wang,maml_static_gnn,2,0.892850,0.891943,0.879692,0.776809
Caco2_Wang,maml_static_gnn,3,0.848959,0.822223,0.819927,0.776809
Caco2_Wang,maml_static_gnn,4,0.885301,0.886348,0.883394,0.776809
Caco2_Wang,maml_dense_gsl,0,0.833548,0.813113,0.815695,0.776809
Caco2_Wang,maml_dense_gsl,1,0.846995,0.826921,0.803459,0.776809
Caco2_Wang,maml_dense_gsl,2,0.890097,0.886724,0.874459,0.776809
Caco2_Wang,maml_dense_gsl,3,0.854400,0.841332,0.836505,0.776809
Caco2_Wang,maml_dense_gsl,4,0.917307,0.907544,0.917202,0.776809
VDss_Lombardo,maml_mlp,0,25.389763,25.267771,25.525229,22.342686
VDss_Lombardo,maml_mlp,1,24.904119,24.841730,24.857025,22.342686
VDss_Lombardo,maml_mlp,2,26.529823,15.814045,15.564250,22.342686
VDss_Lombardo,maml_mlp,3,25.908396,25.312706,25.309814,22.342686
VDss_Lombardo,maml_mlp,4,25.673084,25.341663,25.442646,22.342686
VDss_Lombardo,maml_static_gnn,0,24.916595,24.701040,24.909891,22.342686
VDss_Lombardo,maml_static_gnn,1,26.760244,26.650745,26.289806,22.342686
VDss_Lombardo,maml_static_gnn,2,25.927734,14.961658,14.911129,22.342686
VDss_Lombardo,maml_static_gnn,3,26.043505,26.084059,25.698076,22.342686
VDss_Lombardo,maml_static_gnn,4,24.808462,24.811607,25.086462,22.342686
VDss_Lombardo,maml_dense_gsl,0,24.842131,24.946857,25.414421,22.342686
VDss_Lombardo,maml_dense_gsl,1,24.549603,24.560760,24.750441,22.342686
VDss_Lombardo,maml_dense_gsl,2,24.606920,14.087265,13.719409,22.342686
VDss_Lombardo,maml_dense_gsl,3,25.360241,25.487015,25.457409,22.342686
VDss_Lombardo,maml_dense_gsl,4,24.216982,24.028934,24.256952,22.342686
PPBR_AZ,maml_mlp,0,19.379051,19.422241,19.411001,18.127562
PPBR_AZ,maml_mlp,1,20.070810,20.286686,20.185696,18.127562
PPBR_AZ,maml_mlp,2,20.980816,20.052477,19.180365,18.127562
PPBR_AZ,maml_mlp,3,20.203485,20.192459,19.709021,18.127562
PPBR_AZ,maml_mlp,4,19.758129,19.544775,19.385044,18.127562
PPBR_AZ,maml_static_gnn,0,18.971888,18.915779,18.890671,18.127562
PPBR_AZ,maml_static_gnn,1,19.752899,20.020918,19.429602,18.127562
PPBR_AZ,maml_static_gnn,2,19.627726,19.289528,19.264713,18.127562
PPBR_AZ,maml_static_gnn,3,19.773846,19.702293,19.693731,18.127562
PPBR_AZ,maml_static_gnn,4,19.686911,20.381910,19.502502,18.127562
PPBR_AZ,maml_dense_gsl,0,17.661152,17.834221,17.894644,18.127562
PPBR_AZ,maml_dense_gsl,1,18.793081,18.971056,18.647032,18.127562
